VEN,NAME
VEN112,Ven Uduhawara Indasiri Thero
VEN113,Ven Welimada Saradha Thero
VEN114,Ven Bathalayaye Sumanajeeva Thero
VEN115,Ven Thalagala Damma Gavesi Thero
VEN116,Ven Weherakale Saddhalankara Thero
VEN117,Ven Udakotuwe Sugathadheera Thero
VEN118,Ven Higure Pannasekara Thero - Nibbanthi Deera
VEN119,Ven Muthugala DammakKanda Thero
VEN120,Ven Diyagama Naradha Thero
VEN121,Ven Hasalaka Seelawimala Thero
VEN122,Ven Elamulle Deepaloka Tuero
VEN123,Ven Akalagala Sirisumanasiri Thero
VEN124,Ven Hakmana MaduraDammana Thero
VEN125,Magadhi Pali Bhasha
VEN126,Ven Meegahakiwule Maithree Thero
VEN127,Ven Yatigala Gnanasiri Thero
VEN128,Ven Kirinde Uditha Thero
VEN129,Ven Dewalegama Vineetha Thero
VEN130,Ven Vilwala nandarama Thero
VEN131,Ven Hulawagama Aggawansha Thero
VEN132,Ven Balangoda Raadha Thero
VEN133,Ven Ridiyagama Indaloka Thero
VEN134,Ven Dodanduwe Sirikara Thero
VEN135,Ven Dehiowita Vijithawansha Thero
VEN136,Ven Pusaellaye Chandhima Thero
VEN137,Ven Atthanagalla Revatha Thero
VEN138,Ven Polonnaruwe Sumanasara Thero
VEN139,Ven Inginimitiye Nalaka Thero
VEN140,Ven Maakaduwawe Wipassi Thero
VEN141,Ven Athidiye Shantha Thero
VEN142,Ven Hadigalle Chandaloka Thero
VEN143,Ven Kudalugasse Dammadassi Thero
VEN144,Ven Walaswawe Sunanda Thero
VEN145,Ven Godagamuwe Anurudha Thero
VEN146,Ven Balangoda Radha Thero     
VEN147,Ven Ihagama Vimalanada Thero
VEN148,Ven Thalale ChandaKiththi Thero
VEN149,Ven Halmilawe Saddhathissa Thero
VEN150,Ven Konakubukwake Pangaloke Thero
VEN151,Ven Wasanagama Rathana Thero
VEN152,Ven Dammarawe Hamawaloka Thero
VEN153,Ven Thapowanaye Ariyadaja Thero - Chakkugn Udapadhi
VEN154,Ven Kulasandawe Seelananda Thero
VEN155,Ven Dambarawe Hemawaloka Thero
VEN156,Ven Batapola Medhanada Thero
VEN157,Ven Ranasgalle Gnanaweera Thero
VEN158,Ven Iddamalgoda Gunalankara Thero
mp,None.mp3
VEN159,Ven Meegamawaththe Wimalajothi Thero
VEN160,Ven Kudagadawe GhnanaWimala Thero
VEN161,Ven Kolonnawe Sudhewa Thero
VEN162,Ven Wathuravilla SiriSujatha Thero
VEN163,Ven Athkadhawaka Sadhajeewaa Thero
VEN164,Ven Malimbada Pannasara Thero
VEN165,Ven Thunbovila Dammarathana Thero
VEN167,Ven Galahapitiye Premarathana Thero
VEN168,Ven Mallagama Piyarathana Thero
VEN167,Ven Pannala Ananda Thero
VEN168,Ven Parapamulle Sirivimala Thero
VEN169,Ven Makaduwawe Sudhammarakkitha Thero
VEN170,Ven Kaluwabe Sumedha Thero
VEN171,Ven Deniyaye Upasama Thero 
VEN172,Sudamma Yathra
VEN173,Ven Makaduwe Sudhammarakhitha Thero
VEN174,Ven Wilpita Samitha Thero
VEN175,Ven Munnakulame Dammanada Thero
VEN176,Ven Makaduwe Sudhasi Thero 
VEN177,Ven Nauyane Thero
VEN178,VenThapowanaye Rathana Thero
VEN179,Ven Kandane Bodhidamma Thero
VEN180,Ven Midigama Soratha THero
VEN181,Ven Meegalawe Nandarathana Thero
VEN182,Ven Sagama Anomadassi Thero
VEN183,Ven Gampola Indrasiri Thero
VEN184,Ven Kahatagaseniye DeeranandaThero
VEN185,Ven Bulathsinhala Sumangala Thero
VEN186,Ven Hakmana Madhuradhamma Thero
VEN187,Ven Nugethanne Pganya Thero
VEN188,Ven Ilwane Ananda Thero
VEN189,Ven Athanagikande Kashyapawanshe Thero
VEN190,Ven Diyawenpura Siri Sumana Thero
VEN191,Ven Kudabadhigama Sumana Thero
VEN192,Ven Warakapalahene SugathaGnana Thero
VEN193,Ven Olaganwanthe Chandrasiri Thero
VEN194,Ven Piyasenpura Wimala Thero
VEN195,Ven Neelam Mahara Chathura Shantha Thero
VEN196,Ven Opatha Samitha Vihari Thero
